id,lat,lon,kit,surface,wayId,sampleId,conditional,status,solar_status,coordinate_role
"R01","18.8189027","98.8712384","HUB","unpaved","696213525","USER_SCREEN_E1","true","PROPOSED_FOR_FIELD_SURVEY","NOT_SURVEYED","ROAD_CENTERLINE_SURVEY_ANCHOR_NOT_FOUNDATION"
"R02","18.8157345","98.869423","WX","unpaved","696213525","USER_SCREEN_E2","true","PROPOSED_FOR_FIELD_SURVEY","NOT_SURVEYED","ROAD_CENTERLINE_SURVEY_ANCHOR_NOT_FOUNDATION"
"R03","18.8097818","98.8656835","WX","unpaved","696213512","USER_SCREEN_E3","true","PROPOSED_FOR_FIELD_SURVEY","NOT_SURVEYED","ROAD_CENTERLINE_SURVEY_ANCHOR_NOT_FOUNDATION"
"R04","18.8045497","98.8676286","WX","unpaved","255517026","USER_SCREEN_E4","true","PROPOSED_FOR_FIELD_SURVEY","NOT_SURVEYED","ROAD_CENTERLINE_SURVEY_ANCHOR_NOT_FOUNDATION"
"R05","18.7980103","98.8653743","WX","unpaved","1215941741","USER_SCREEN_E5","true","PROPOSED_FOR_FIELD_SURVEY","NOT_SURVEYED","ROAD_CENTERLINE_SURVEY_ANCHOR_NOT_FOUNDATION"
"R06","18.8205318","98.8513756","HUB","unpaved","1112030805","USER_SCREEN_W1","true","PROPOSED_FOR_FIELD_SURVEY","NOT_SURVEYED","ROAD_CENTERLINE_SURVEY_ANCHOR_NOT_FOUNDATION"
"R07","18.8150537","98.8504127","WX","unpaved","1238533290","USER_SCREEN_W2","true","PROPOSED_FOR_FIELD_SURVEY","NOT_SURVEYED","ROAD_CENTERLINE_SURVEY_ANCHOR_NOT_FOUNDATION"
"R08","18.8068676","98.8505923","WX","unpaved","1125539934","USER_SCREEN_W3","true","PROPOSED_FOR_FIELD_SURVEY","NOT_SURVEYED","ROAD_CENTERLINE_SURVEY_ANCHOR_NOT_FOUNDATION"
"R09","18.8009826","98.8491976","WX","unknown","964524419","USER_SCREEN_W4","false","PROPOSED_FOR_FIELD_SURVEY","NOT_SURVEYED","ROAD_CENTERLINE_SURVEY_ANCHOR_NOT_FOUNDATION"
